id,product_id,website_id,normalized_leaf_category_id,department_name,iksula_category_identifier,product_url,product_title,model_number,manufacturing_brand
1311151,47755612,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B07QP121DC,"Yong Heng High Pressure Air Compressor Pump, 30Mpa 110V Electric Air Pump PCP Air Compressor for Airgun Scuba Rifle",,CLIENSY
1310597,43483867,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B078Y41ZTP,"INTRADIN HK CO, LIMITED 1204S316 MM 3/8"" NPT Air Filter",‎1204S316,Master Mechanic
1310173,26972723,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B07VTTKLY5,"Portable 150PSI Cordless Air Pump Tire Inflator Air Compressor with Digital Pressure Gauge Including Rechargeable Li-ion Battery Pack and 12V Car Power Cord, for Car Bike Motorcycle Balls",,Tonsim
1311501,49005805,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B082L2PVKT,"Eastwood Elite QST-30 60 Scroll Air Compressor, Compact Size, Powerful",,Eastwood
1308913,14328103,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/Qisuw-New-6KG-1-4-BSP-Air-Compressor-Safety-Release-Valve-Pressure-Relief-Regulator/697726050,Qisuw New 6KG 1/4'''' BSP Air Compressor Safety Release Valve Pressure Relief Regulator,,Qisuw
1309701,34025829,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/EBTOOLS-G1-2-Air-Compressor-Filter-Air-Compressor-Filter-Oil-Water-Separator-For-Air-Oil-Water/508380502,"EBTOOLS G1/2 Air Compressor Filter, Air Compressor Filter, Oil Water Separator, For Air Oil Water",,EBTOOLS
1312315,72073477,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B092PKX67K,"Super Fast Air Cushion Machine - Air Bubble Air Pillow Machine - Easy to Use, Fast Heating and Inflating Air Films Up to 52ft per Minute - Air Pillow Maker Inflatable Packaging Heavy Duty",,PPE
1312261,69643951,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B000CCJIAE,Speedaire 20 gal. 5.5 HP Barrel Portable Gas Air Compressor 4B220-1 Each,‎4B220,Speedaire
1312399,72079168,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B09SZ9DNTK,Sand Blaster The Best Barber Cordless Airbrush Compressor Gun Powerful Kit tool kits for home (Color : Part B white),,Bevve
1312097,56169536,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B09M9N37BN,Eastwood Elite QST 80/120 Scroll Pump Air Compressor Powerful Cast Iron Portable,,Eastwood
